COVID 19 Rules,Written Record,Recording,"Meeting
Record",Day,Month,Year,Date,"Press
Release",Topic/Subject,"Security Council
Outcome / Vote",Presidential Statement,Communique,Press Elements,Resolution,Unanimous,Failed,Vetoed,No Outcome,Closed Meeting,Presidency,Gender_Rep,P5 Presidency,Non-P5 Presidency,Region,PermRep_Name,Note
0,n/a,n/a,S/PV.3043,29,January,1992,1/29/1992,none issued,Admission of new Members,"S/RES/737 (1992)
without vote",0,0,0,1,0,0,0,0,0,United Kingdom,male,yes,no,WEOG,David Hannay,
0,n/a,n/a,S/PV.3043,29,January,1992,1/29/1992,none issued,Admission of new Members,S/23498 (PRST),1,0,0,0,0,0,0,0,0,United Kingdom,male,yes,no,WEOG,David Hannay,
0,n/a,n/a,S/PV.3042,29,January,1992,1/29/1992,none issued,Admission of new Members,"S/RES/736 (1992)
without vote",0,0,0,1,0,0,0,0,0,United Kingdom,male,yes,no,WEOG,David Hannay,
0,n/a,n/a,S/PV.3042,29,January,1992,1/29/1992,none issued,Admission of new Members,S/23497 (PRST),1,0,0,0,0,0,0,0,0,United Kingdom,male,yes,no,WEOG,David Hannay,
0,n/a,n/a,S/PV.3041,29,January,1992,1/29/1992,none issued,Admission of new Members,"S/RES/735 (1992)
without vote",0,0,0,1,0,0,0,0,0,United Kingdom,male,yes,no,WEOG,David Hannay,
0,n/a,n/a,S/PV.3041,29,January,1992,1/29/1992,none issued,Admission of new Members,S/23496 (PRST),1,0,0,0,0,0,0,0,0,United Kingdom,male,yes,no,WEOG,David Hannay,
0,n/a,n/a,S/PV.3040,29,January,1992,1/29/1992,none issued,The situation in the Middle East,"S/RES/734 (1992)
15-0-0",0,0,0,1,1,0,0,0,0,United Kingdom,male,yes,no,WEOG,David Hannay,
0,n/a,n/a,S/PV.3046,31,January,1992,1/31/1992,none issued,The responsibility of the Security Council in the maintenance of international peace and security,S/23500 (PRST),1,0,0,0,0,0,0,0,0,United Kingdom,male,yes,no,WEOG,David Hannay,
0,n/a,n/a,S/PV.3048,5,February,1992,2/5/1992,none issued,Admission of new Members,--,0,0,0,0,0,0,0,1,0,United States,male,yes,no,WEOG,Thomas Pickering,
0,n/a,n/a,S/PV.3047,5,February,1992,2/5/1992,none issued,Admission of new Members,"S/RES/739 (1992)
without vote",0,0,0,1,0,0,0,0,0,United States,male,yes,no,WEOG,Thomas Pickering,
0,n/a,n/a,S/PV.3047,5,February,1992,2/5/1992,none issued,Admission of new Members,S/23516 (PRST),1,0,0,0,0,0,0,0,0,United States,male,yes,no,WEOG,Thomas Pickering,
0,n/a,n/a,S/PV.3050,7,February,1992,2/7/1992,none issued,Admission of new Members,"S/RES/741 (1992)
15-0-0",0,0,0,1,1,0,0,0,0,United States,male,yes,no,WEOG,Thomas Pickering,
0,n/a,n/a,S/PV.3050,7,February,1992,2/7/1992,none issued,Admission of new Members,S/23547 (PRST),1,0,0,0,0,0,0,0,0,United States,male,yes,no,WEOG,Thomas Pickering,
0,n/a,n/a,S/PV.3049,7,February,1992,2/7/1992,none issued,Items relating to the situation in the former Yugoslavia,"S/RES/740 (1992)
15-0-0",0,0,0,1,1,0,0,0,0,United States,male,yes,no,WEOG,Thomas Pickering,
0,n/a,n/a,S/PV.3051,11,February,1992,2/11/1992,none issued,Admission of new Members,--,0,0,0,0,0,0,0,1,0,United States,male,yes,no,WEOG,Thomas Pickering,
0,n/a,n/a,S/PV.3052,14,February,1992,2/14/1992,none issued,Admission of new Members,"S/RES/742 (1992)
without vote",0,0,0,1,0,0,0,0,0,United States,male,yes,no,WEOG,Thomas Pickering,
0,n/a,n/a,S/PV.3052,14,February,1992,2/14/1992,none issued,Admission of new Members,S/23597 (PRST),1,0,0,0,0,0,0,0,0,United States,male,yes,no,WEOG,Thomas Pickering,
0,n/a,n/a,S/PV.3053,19,February,1992,2/19/1992,none issued,The situation in the Middle East (violence in southern Lebanon),S/23610 (PRST),1,0,0,0,0,0,0,0,0,United States,male,yes,no,WEOG,Thomas Pickering,
0,n/a,n/a,S/PV.3055,21,February,1992,2/21/1992,none issued,Items relating to the situation in the former Yugoslavia,"S/RES/743 (1992)
15-0-0",0,0,0,1,1,0,0,0,0,United States,male,yes,no,WEOG,Thomas Pickering,
0,n/a,n/a,S/PV.3054,21,February,1992,2/21/1992,none issued,Admission of new Members,--,0,0,0,0,0,0,0,1,0,United States,male,yes,no,WEOG,Thomas Pickering,
0,n/a,n/a,S/PV.3056,25,February,1992,2/25/1992,none issued,Admission of new Members,"S/RES/744 (1992)
15-0-0",0,0,0,1,1,0,0,0,0,United States,male,yes,no,WEOG,Thomas Pickering,
0,n/a,n/a,S/PV.3056,25,February,1992,2/25/1992,none issued,Admission of new Members,S/23640 (PRST),1,0,0,0,0,0,0,0,0,United States,male,yes,no,WEOG,Thomas Pickering,
0,n/a,n/a,S/PV.3058,28,February,1992,2/28/1992,none issued,The situation between Iraq and Kuwait,--,0,0,0,0,0,0,0,1,0,United States,male,yes,no,WEOG,Thomas Pickering,
0,n/a,n/a,S/PV.3057,28,February,1992,2/28/1992,none issued,The situation in Cambodia,"S/RES/745 (1992)
15-0-0",0,0,0,1,1,0,0,0,0,United States,male,yes,no,WEOG,Thomas Pickering,
0,n/a,n/a,S/PV.3059,11,March,1992,3/11/1992,none issued,The situation between Iraq and Kuwait,--,0,0,0,0,0,0,0,1,0,Venezuela,male,no,yes,GRULAC,Diego Arria,
0,n/a,n/a,S/PV.3060,17,March,1992,3/17/1992,none issued,The situation in Somalia,"S/RES/746 (1992)
15-0-0",0,0,0,1,1,0,0,0,0,Venezuela,male,no,yes,GRULAC,Diego Arria,
0,n/a,n/a,S/PV.3060,17,March,1992,3/17/1992,none issued,The situation in Somalia,S/23699 (PRST),1,0,0,0,0,0,0,0,0,Venezuela,male,no,yes,GRULAC,Diego Arria,
0,n/a,n/a,S/PV.3061,19,March,1992,3/19/1992,none issued,The situation between Iraq and Kuwait,S/23732 (PRST),1,0,0,0,0,0,0,0,0,Venezuela,male,no,yes,GRULAC,Diego Arria,
0,n/a,n/a,S/PV.3062,24,March,1992,3/24/1992,none issued,Items relating to the situation in Angola,"S/RES/747 (1992)
15-0-0",0,0,0,1,1,0,0,0,0,Venezuela,male,no,yes,GRULAC,Diego Arria,
0,n/a,n/a,S/PV.3063,31,March,1992,3/31/1992,none issued,Items relating to the Libyan Arab Jamahiriya,"S/RES/748 (1992)
10-0-5",0,0,0,1,0,0,0,0,0,Venezuela,male,no,yes,GRULAC,Diego Arria,
0,n/a,n/a,S/PV.3064,2,April,1992,4/2/1992,none issued,Items relating to the Libyan Arab Jamahiriya (Statement on the attack on the Venezuela Embassy in Tripoli),S/23772 (PRST),1,0,0,0,0,0,0,0,0,Zimbabwe,male,no,yes,AG,Simbarashe Mumbengegwi,
0,n/a,n/a,S/PV.3065,4,April,1992,4/4/1992,none issued,The situation in the occupied Arab territories,S/23783 (PRST),1,0,0,0,0,0,0,0,0,Zimbabwe,male,no,yes,AG,Simbarashe Mumbengegwi,
0,n/a,n/a,S/PV.3066,7,April,1992,4/7/1992,none issued,Items relating to the situation in the former Yugoslavia,"S/RES/749 (1992)
15-0-0",0,0,0,1,1,0,0,0,0,Zimbabwe,male,no,yes,AG,Simbarashe Mumbengegwi,
0,n/a,n/a,S/PV.3068,10,April,1992,4/10/1992,none issued,Items relating to the situation in the former Yugoslavia,--,0,0,0,0,0,0,0,1,0,Zimbabwe,male,no,yes,AG,Simbarashe Mumbengegwi,
0,n/a,n/a,S/PV.3067,10,April,1992,4/10/1992,none issued,The situation in Cyprus,"S/RES/750 (1992)
15-0-0",0,0,0,1,1,0,0,0,0,Zimbabwe,male,no,yes,AG,Simbarashe Mumbengegwi,
0,n/a,n/a,S/PV.3070,24,April,1992,4/24/1992,none issued,Items relating to the situation in the former Yugoslavia,S/23842 (PRST),1,0,0,0,0,0,0,0,0,Zimbabwe,male,no,yes,AG,Simbarashe Mumbengegwi,
0,n/a,n/a,S/PV.3069,24,April,1992,4/24/1992,none issued,The situation in Somalia,"S/RES/751 (1992)
15-0-0",0,0,0,1,1,0,0,0,0,Zimbabwe,male,no,yes,AG,Simbarashe Mumbengegwi,
0,n/a,n/a,S/PV.3071,7,May,1992,5/7/1992,none issued,The situation in Liberia,S/23886 (PRST),1,0,0,0,0,0,0,0,0,Austria,male,no,yes,WEOG,Peter Hohenfellner,
0,n/a,n/a,S/PV.3072,12,May,1992,5/12/1992,none issued,The situation relating to Nagorno-Karabakh,S/23904 (PRST),1,0,0,0,0,0,0,0,0,Austria,male,no,yes,WEOG,Peter Hohenfellner,
0,n/a,n/a,S/PV.3074,14,May,1992,5/14/1992,none issued,Admission of new Members,--,0,0,0,0,0,0,0,1,0,Austria,male,no,yes,WEOG,Peter Hohenfellner,
0,n/a,n/a,S/PV.3073,14,May,1992,5/14/1992,none issued,Admission of new Members,--,0,0,0,0,0,0,0,1,0,Austria,male,no,yes,WEOG,Peter Hohenfellner,
0,n/a,n/a,S/PV.3075,15,May,1992,5/15/1992,none issued,Items relating to the situation in the former Yugoslavia,"S/RES/752 (1992)
15-0-0",0,0,0,1,1,0,0,0,0,Austria,male,no,yes,WEOG,Peter Hohenfellner,
0,n/a,n/a,S/PV.3077,18,May,1992,5/18/1992,none issued,Admission of new Members,"S/RES/754 (1992)
without vote",0,0,0,1,0,0,0,0,0,Austria,male,no,yes,WEOG,Peter Hohenfellner,
0,n/a,n/a,S/PV.3077,18,May,1992,5/18/1992,none issued,Admission of new Members,S/23946 (PRST),1,0,0,0,0,0,0,0,0,Austria,male,no,yes,WEOG,Peter Hohenfellner,
0,n/a,n/a,S/PV.3076,18,May,1992,5/18/1992,none issued,Admission of new Members,"S/RES/753 (1992)
without vote",0,0,0,1,0,0,0,0,0,Austria,male,no,yes,WEOG,Peter Hohenfellner,
0,n/a,n/a,S/PV.3076,18,May,1992,5/18/1992,none issued,Admission of new Members,S/23945 (PRST),1,0,0,0,0,0,0,0,0,Austria,male,no,yes,WEOG,Peter Hohenfellner,
0,n/a,n/a,S/PV.3079,20,May,1992,5/20/1992,none issued,Admission of new Members,"S/RES/755 (1992)
15-0-0",0,0,0,1,1,0,0,0,0,Austria,male,no,yes,WEOG,Peter Hohenfellner,
0,n/a,n/a,S/PV.3078,20,May,1992,5/20/1992,none issued,Admission of new Members,--,0,0,0,0,0,0,0,1,0,Austria,male,no,yes,WEOG,Peter Hohenfellner,
0,n/a,n/a,S/PV.3080,21,May,1992,5/21/1992,none issued,Letter dated 27 April 1992 from the Permanent Representative of Cuba to the United Nations addressed to the President of the Security Council (S/23850) (Cuban airline bombing),--,0,0,0,0,0,0,0,1,0,Austria,male,no,yes,WEOG,Peter Hohenfellner,
0,n/a,n/a,S/PV.3081,29,May,1992,5/29/1992,none issued,The situation in the Middle East,"S/RES/756 (1992)
15-0-0",0,0,0,1,1,0,0,0,0,Austria,male,no,yes,WEOG,Peter Hohenfellner,
0,n/a,n/a,S/PV.3081,29,May,1992,5/29/1992,none issued,The situation in the Middle East,S/24030 (PRST),1,0,0,0,0,0,0,0,0,Austria,male,no,yes,WEOG,Peter Hohenfellner,
0,n/a,n/a,S/PV.3082,30,May,1992,5/30/1992,none issued,Items relating to the situation in the former Yugoslavia,"S/RES/757 (1992)
13-0-2",0,0,0,1,0,0,0,0,0,Austria,male,no,yes,WEOG,Peter Hohenfellner,
0,n/a,n/a,S/PV.3083,8,June,1992,6/8/1992,none issued,Items relating to the situation in the former Yugoslavia,"S/RES/758 (1992)
15-0-0",0,0,0,1,1,0,0,0,0,Belgium,male,no,yes,WEOG,Paul Noterdaeme,
0,n/a,n/a,S/PV.3085,12,June,1992,6/12/1992,none issued,The situation in Cambodia,S/24091 (PRST),1,0,0,0,0,0,0,0,0,Belgium,male,no,yes,WEOG,Paul Noterdaeme,
0,n/a,n/a,S/PV.3084,12,June,1992,6/12/1992,none issued,The situation in Cyprus,"S/RES/759 (1992)
15-0-0",0,0,0,1,1,0,0,0,0,Belgium,male,no,yes,WEOG,Paul Noterdaeme,
0,n/a,n/a,S/PV.3086,18,June,1992,6/18/1992,none issued,Items relating to the situation in the former Yugoslavia,"S/RES/760 (1992)
15-0-0",0,0,0,1,1,0,0,0,0,Belgium,male,no,yes,WEOG,Paul Noterdaeme,
0,n/a,n/a,S/PV.3087,29,June,1992,6/29/1992,none issued,Items relating to the situation in the former Yugoslavia,"S/RES/761 (1992)
15-0-0",0,0,0,1,1,0,0,0,0,Belgium,male,no,yes,WEOG,Paul Noterdaeme,
0,n/a,n/a,S/PV.3089,30,June,1992,6/30/1992,none issued,"An agenda for peace: preventive diplomacy, peacemaking and peace-keeping",S/24210 (PRST),1,0,0,0,0,0,0,0,0,Belgium,male,no,yes,WEOG,Paul Noterdaeme,
0,n/a,n/a,S/PV.3088,30,June,1992,6/30/1992,none issued,Items relating to the situation in the former Yugoslavia,"S/RES/762 (1992)
15-0-0",0,0,0,1,1,0,0,0,0,Belgium,male,no,yes,WEOG,Paul Noterdaeme,
0,n/a,n/a,S/PV.3090,2,July,1992,7/2/1992,none issued,Admission of new Members,--,0,0,0,0,0,0,0,1,0,Cape Verde,male,no,yes,AG,José Luís de Jesus,
0,n/a,n/a,S/PV.3091,6,July,1992,7/6/1992,none issued,Admission of new Members,"S/RES/763 (1992)
without vote",0,0,0,1,0,0,0,0,0,Cape Verde,male,no,yes,AG,José Luís de Jesus,
0,n/a,n/a,S/PV.3091,6,July,1992,7/6/1992,none issued,Admission of new Members,S/24241 (PRST),1,0,0,0,0,0,0,0,0,Cape Verde,male,no,yes,AG,José Luís de Jesus,
0,n/a,n/a,S/PV.3092,7,July,1992,7/7/1992,none issued,Items relating to the situation in Angola,S/24249 (PRST),1,0,0,0,0,0,0,0,0,Cape Verde,male,no,yes,AG,José Luís de Jesus,
0,n/a,n/a,S/PV.3094,13,July,1992,7/13/1992,none issued,The situation in Cyprus,S/24271 (PRST),1,0,0,0,0,0,0,0,0,Cape Verde,male,no,yes,AG,José Luís de Jesus,
0,n/a,n/a,S/PV.3093,13,July,1992,7/13/1992,none issued,Items relating to the situation in the former Yugoslavia,"S/RES/764 (1992)
15-0-0",0,0,0,1,1,0,0,0,0,Cape Verde,male,no,yes,AG,José Luís de Jesus,
0,n/a,n/a,S/PV.3095,15,July,1992,7/15/1992,none issued,The question of South Africa,--,0,0,0,0,0,0,0,1,0,Cape Verde,male,no,yes,AG,José Luís de Jesus,
0,n/a,n/a,S/PV.3096,16,July,1992,7/16/1992,none issued,The question of South Africa,"S/RES/765 (1992)
15-0-0",0,0,0,1,1,0,0,0,0,Cape Verde,male,no,yes,AG,José Luís de Jesus,
0,n/a,n/a,S/PV.3098,17,July,1992,7/17/1992,none issued,The situation between Iraq and Kuwait,S/24309 (PRST),1,0,0,0,0,0,0,0,0,Cape Verde,male,no,yes,AG,José Luís de Jesus,
0,n/a,n/a,S/PV.3097,17,July,1992,7/17/1992,none issued,Items relating to the situation in the former Yugoslavia,S/24307 (PRST),1,0,0,0,0,0,0,0,0,Cape Verde,male,no,yes,AG,José Luís de Jesus,
0,n/a,n/a,S/PV.3099,21,July,1992,7/21/1992,none issued,The situation in Cambodia,"S/RES/766 (1992)
15-0-0",0,0,0,1,1,0,0,0,0,Cape Verde,male,no,yes,AG,José Luís de Jesus,
0,n/a,n/a,S/PV.3100,24,July,1992,7/24/1992,none issued,Items relating to the situation in the former Yugoslavia,S/24346 (PRST),1,0,0,0,0,0,0,0,0,Cape Verde,male,no,yes,AG,José Luís de Jesus,
0,n/a,n/a,S/PV.3101,27,July,1992,7/27/1992,none issued,The situation in Somalia,"S/RES/767 (1992)
15-0-0",0,0,0,1,1,0,0,0,0,Cape Verde,male,no,yes,AG,José Luís de Jesus,
0,n/a,n/a,S/PV.3102,30,July,1992,7/30/1992,none issued,The situation in the Middle East,"S/RES/768 (1992)
15-0-0",0,0,0,1,1,0,0,0,0,Cape Verde,male,no,yes,AG,José Luís de Jesus,
0,n/a,n/a,S/PV.3102,30,July,1992,7/30/1992,none issued,The situation in the Middle East,S/24362 (PRST),1,0,0,0,0,0,0,0,0,Cape Verde,male,no,yes,AG,José Luís de Jesus,
0,n/a,n/a,S/PV.3103,4,August,1992,8/4/1992,none issued,Items relating to the situation in the former Yugoslavia,S/24378 (PRST),1,0,0,0,0,0,0,0,0,China,male,yes,no,APG,Li Daoyu,
0,n/a,n/a,S/PV.3104,7,August,1992,8/7/1992,none issued,Items relating to the situation in the former Yugoslavia,"S/RES/769 (1992)
15-0-0",0,0,0,1,1,0,0,0,0,China,male,yes,no,APG,Li Daoyu,
0,n/a,n/a,S/PV.3105,11,August,1992,8/11/1992,none issued,Items relating to the situation between Iraq and Kuwait,--,0,0,0,0,0,0,0,1,0,China,male,yes,no,APG,Li Daoyu,
0,n/a,n/a,S/PV.3106,13,August,1992,8/13/1992,none issued,Items relating to the situation in the former Yugoslavia,"S/RES/771 (1991)
15-0-0",0,0,0,1,1,0,0,0,0,China,male,yes,no,APG,Li Daoyu,
0,n/a,n/a,S/PV.3106,13,August,1992,8/13/1992,none issued,Items relating to the situation in the former Yugoslavia,"S/RES/770 (1991)
12-0-3",0,0,0,1,0,0,0,0,0,China,male,yes,no,APG,Li Daoyu,
0,n/a,n/a,S/PV.3107,17,August,1992,8/17/1992,none issued,The question of South Africa,"S/RES/772 (1992)
15-0-0
S/24456 (PRST)",1,0,0,1,1,0,0,0,0,China,male,yes,no,APG,Li Daoyu,
0,n/a,n/a,S/PV.3109,26,August,1992,8/26/1992,none issued,The situation in Cyprus,"S/RES/774 (1992)
15-0-0",0,0,0,1,1,0,0,0,0,China,male,yes,no,APG,Li Daoyu,
0,n/a,n/a,S/PV.3108,26,August,1992,8/26/1992,none issued,The situation between Iraq and Kuwait,"S/RES/773 (1992)
14-0-1",0,0,0,1,0,0,0,0,0,China,male,yes,no,APG,Li Daoyu,
0,n/a,n/a,S/PV.3110,28,August,1992,8/28/1992,none issued,The situation in Somalia,"S/RES/775 (1992)
15-0-0",0,0,0,1,1,0,0,0,0,China,male,yes,no,APG,Li Daoyu,
0,n/a,n/a,S/PV.3112,2,September,1992,9/2/1992,none issued,Items relating to the situation between Iraq and Kuwait,S/24511 (PRST),1,0,0,0,0,0,0,0,0,Ecuador,male,no,yes,GRULAC,José Ayala Lasso,
0,n/a,n/a,S/PV.3111,2,September,1992,9/2/1992,none issued,Items relating to the situation in the former Yugoslavia,S/24510 (PRST),1,0,0,0,0,0,0,0,0,Ecuador,male,no,yes,GRULAC,José Ayala Lasso,
0,n/a,n/a,S/PV.3113,9,September,1992,9/9/1992,none issued,The situation in Bosnia and Herzegovina,S/24539 (PRST),1,0,0,0,0,0,0,0,0,Ecuador,male,no,yes,GRULAC,José Ayala Lasso,
0,n/a,n/a,S/PV.3114,14,September,1992,9/14/1992,none issued,Items relating to the situation in the former Yugoslavia,"S/RES/776 (1992)
12-0-3",0,0,0,1,0,0,0,0,0,Ecuador,male,no,yes,GRULAC,José Ayala Lasso,
0,n/a,n/a,S/PV.3115,18,September,1992,9/18/1992,none issued,Items relating to the situation in Angola,S/24573 (PRST),1,0,0,0,0,0,0,0,0,Ecuador,male,no,yes,GRULAC,José Ayala Lasso,
0,n/a,n/a,S/PV.3116,19,September,1992,9/19/1992,none issued,Draft resolution contained in document S/24570,"S/RES/777 (1992)
12-0-3",0,0,0,1,0,0,0,0,0,Ecuador,male,no,yes,GRULAC,José Ayala Lasso,
0,n/a,n/a,S/PV.3117,2,October,1992,10/2/1992,none issued,The situation between Iraq and Kuwait,"S/RES/778 (1992)
14-0-1",0,0,0,1,0,0,0,0,0,France,male,yes,no,WEOG,Jean-Bernard Mérimée,
0,n/a,n/a,S/PV.3120,6,October,1992,10/6/1992,none issued,Items relating to the situation in Angola,S/24623 (PRST),1,0,0,0,0,0,0,0,0,France,male,yes,no,WEOG,Jean-Bernard Mérimée,
0,n/a,n/a,S/PV.3119,6,October,1992,10/6/1992,none issued,Items relating to the situation in the former Yugoslavia,"S/RES/780 (1992)
15-0-0",0,0,0,1,1,0,0,0,0,France,male,yes,no,WEOG,Jean-Bernard Mérimée,
0,n/a,n/a,S/PV.3118,6,October,1992,10/6/1992,none issued,Items relating to the situation in the former Yugoslavia,"S/RES/779 (1992)
15-0-0",0,0,0,1,1,0,0,0,0,France,male,yes,no,WEOG,Jean-Bernard Mérimée,
0,n/a,n/a,S/PV.3121,8,October,1992,10/8/1992,none issued,The situation in Georgia,S/24637 (PRST),1,0,0,0,0,0,0,0,0,France,male,yes,no,WEOG,Jean-Bernard Mérimée,
0,n/a,n/a,S/PV.3122,9,October,1992,10/9/1992,none issued,The situation in Bosnia and Herzegovina,"S/RES/781 (1992)
14-0-1",0,0,0,1,0,0,0,0,0,France,male,yes,no,WEOG,Jean-Bernard Mérimée,
0,n/a,n/a,S/PV.3124,13,October,1992,10/13/1992,none issued,The situation in Cambodia,"S/RES/783 (1992)
15-0-0",0,0,0,1,1,0,0,0,0,France,male,yes,no,WEOG,Jean-Bernard Mérimée,
0,n/a,n/a,S/PV.3123,13,October,1992,10/13/1992,none issued,The situation in Mozambique,"S/RES/782 (1992)
15-0-0",0,0,0,1,1,0,0,0,0,France,male,yes,no,WEOG,Jean-Bernard Mérimée,
0,n/a,n/a,S/PV.3127,27,October,1992,10/27/1992,none issued,The situation relating to Nagorny Karabakh,S/24721 (PRST),1,0,0,0,0,0,0,0,0,France,male,yes,no,WEOG,Jean-Bernard Mérimée,
0,n/a,n/a,S/PV.3126,27,October,1992,10/27/1992,none issued,Items relating to the situation in Angola,S/24720 (PRST),1,0,0,0,0,0,0,0,0,France,male,yes,no,WEOG,Jean-Bernard Mérimée,
0,n/a,n/a,S/PV.3125,27,October,1992,10/27/1992,none issued,The situation in Mozambique,S/24719 (PRST),1,0,0,0,0,0,0,0,0,France,male,yes,no,WEOG,Jean-Bernard Mérimée,
0,n/a,n/a,S/PV.3128,29,October,1992,10/29/1992,none issued,"An agenda for peace: preventive diplomacy, peacemaking and peace-keeping",S/24728 (PRST),1,0,0,0,0,0,0,0,0,France,male,yes,no,WEOG,Jean-Bernard Mérimée,
0,n/a,n/a,S/PV.3132,30,October,1992,10/30/1992,none issued,The situation in Bosnia and Herzegovina,S/24744 (PRST),1,0,0,0,0,0,0,0,0,France,male,yes,no,WEOG,Jean-Bernard Mérimée,
0,n/a,n/a,S/PV.3131,30,October,1992,10/30/1992,none issued,The situation in Tajikistan,S/24742 (PRST),1,0,0,0,0,0,0,0,0,France,male,yes,no,WEOG,Jean-Bernard Mérimée,
0,n/a,n/a,S/PV.3130,30,October,1992,10/30/1992,none issued,Items relating to the situation in Angola,"S/RES/785 (1992)
15-0-0",0,0,0,1,1,0,0,0,0,France,male,yes,no,WEOG,Jean-Bernard Mérimée,
0,n/a,n/a,S/PV.3129,30,October,1992,10/30/1992,none issued,Central America: efforts towards peace,"S/RES/784 (1992)
15-0-0",0,0,0,1,1,0,0,0,0,France,male,yes,no,WEOG,Jean-Bernard Mérimée,
0,n/a,n/a,S/PV.3133,10,November,1992,11/10/1992,none issued,The situation in Bosnia and Herzegovina,"S/RES/786 (1992)
15-0-0",0,0,0,1,1,0,0,0,0,Hungary,male,no,yes,EEG,Andre Erdos,
0,n/a,n/a,S/PV.3135,13,November,1992,11/13/1992,none issued,The situation in Bosnia and Herzegovina,--,0,0,0,0,0,0,0,1,0,Hungary,male,no,yes,EEG,Andre Erdos,
0,n/a,n/a,S/PV.3134,13,November,1992,11/13/1992,none issued,The situation in Bosnia and Herzegovina,--,0,0,0,0,0,0,0,1,0,Hungary,male,no,yes,EEG,Andre Erdos,
